제조사,모델명,연월,판매량
현대,그랜저,2025-01-01,5711
현대,그랜저,2025-02-01,5481
현대,그랜저,2025-03-01,6211
현대,그랜저,2025-04-01,6080
현대,그랜저,2025-05-01,4597
현대,그랜저,2025-06-01,5579
현대,그랜저,2025-07-01,4408
현대,그랜저,2025-08-01,5139
현대,그랜저,2025-09-01,5398
현대,그랜저,2025-10-01,5074
현대,그랜저,2025-11-01,6499
현대,그랜저,2025-12-01,11598
현대,아반떼,2025-01-01,5319
현대,아반떼,2025-02-01,6103
현대,아반떼,2025-03-01,6750
현대,아반떼,2025-04-01,6991
현대,아반떼,2025-05-01,6310
현대,아반떼,2025-06-01,7334
현대,아반떼,2025-07-01,5986
현대,아반떼,2025-08-01,7504
현대,아반떼,2025-09-01,7489
현대,아반떼,2025-10-01,5869
현대,아반떼,2025-11-01,5317
현대,아반떼,2025-12-01,6664
현대,디 올 뉴 팰리세이드,2025-01-01,1234
현대,디 올 뉴 팰리세이드,2025-02-01,3727
현대,디 올 뉴 팰리세이드,2025-03-01,4620
현대,디 올 뉴 팰리세이드,2025-04-01,6661
현대,디 올 뉴 팰리세이드,2025-05-01,7682
현대,디 올 뉴 팰리세이드,2025-06-01,5471
현대,디 올 뉴 팰리세이드,2025-07-01,6238
현대,디 올 뉴 팰리세이드,2025-08-01,5232
현대,디 올 뉴 팰리세이드,2025-09-01,4070
현대,디 올 뉴 팰리세이드,2025-10-01,3829
현대,디 올 뉴 팰리세이드,2025-11-01,5124
현대,디 올 뉴 팰리세이드,2025-12-01,5618
현대,투싼,2025-01-01,3636
현대,투싼,2025-02-01,4735
현대,투싼,2025-03-01,4536
현대,투싼,2025-04-01,5223
현대,투싼,2025-05-01,4088
현대,투싼,2025-06-01,4453
현대,투싼,2025-07-01,4011
현대,투싼,2025-08-01,3873
현대,투싼,2025-09-01,5130
현대,투싼,2025-10-01,3909
현대,투싼,2025-11-01,5384
현대,투싼,2025-12-01,4923
현대,포터2,2025-01-01,3329
현대,포터2,2025-02-01,3637
현대,포터2,2025-03-01,4667
현대,포터2,2025-04-01,4291
현대,포터2,2025-05-01,3720
현대,포터2,2025-06-01,3692
현대,포터2,2025-07-01,3368
현대,포터2,2025-08-01,4253
현대,포터2,2025-09-01,4322
현대,포터2,2025-10-01,3375
현대,포터2,2025-11-01,3780
현대,포터2,2025-12-01,4811
현대,쏘나타 디 엣지,2025-01-01,3620
현대,쏘나타 디 엣지,2025-02-01,4585
현대,쏘나타 디 엣지,2025-03-01,4588
현대,쏘나타 디 엣지,2025-04-01,4702
현대,쏘나타 디 엣지,2025-05-01,4134
현대,쏘나타 디 엣지,2025-06-01,4216
현대,쏘나타 디 엣지,2025-07-01,3314
현대,쏘나타 디 엣지,2025-08-01,3527
현대,쏘나타 디 엣지,2025-09-01,4787
현대,쏘나타 디 엣지,2025-10-01,4603
현대,쏘나타 디 엣지,2025-11-01,5897
현대,쏘나타 디 엣지,2025-12-01,4462
현대,싼타페,2025-01-01,4819
현대,싼타페,2025-02-01,5076
현대,싼타페,2025-03-01,5593
현대,싼타페,2025-04-01,6354
현대,싼타페,2025-05-01,4969
현대,싼타페,2025-06-01,5443
현대,싼타페,2025-07-01,4252
현대,싼타페,2025-08-01,3303
현대,싼타페,2025-09-01,5763
현대,싼타페,2025-10-01,4861
현대,싼타페,2025-11-01,3947
현대,싼타페,2025-12-01,3511
현대,코나,2025-01-01,2098
현대,코나,2025-02-01,1823
현대,코나,2025-03-01,2423
현대,코나,2025-04-01,2424
현대,코나,2025-05-01,1669
현대,코나,2025-06-01,2636
현대,코나,2025-07-01,2227
현대,코나,2025-08-01,2473
현대,코나,2025-09-01,2884
현대,코나,2025-10-01,2530
현대,코나,2025-11-01,2485
현대,코나,2025-12-01,2989
현대,스타리아,2025-01-01,2484
현대,스타리아,2025-02-01,3005
현대,스타리아,2025-03-01,3717
현대,스타리아,2025-04-01,3727
현대,스타리아,2025-05-01,3282
현대,스타리아,2025-06-01,3800
현대,스타리아,2025-07-01,3632
현대,스타리아,2025-08-01,3246
현대,스타리아,2025-09-01,3101
현대,스타리아,2025-10-01,2420
현대,스타리아,2025-11-01,2500
현대,스타리아,2025-12-01,2116
현대,베뉴,2025-01-01,694
현대,베뉴,2025-02-01,697
현대,베뉴,2025-03-01,583
현대,베뉴,2025-04-01,760
현대,베뉴,2025-05-01,1157
현대,베뉴,2025-06-01,1086
현대,베뉴,2025-07-01,1272
현대,베뉴,2025-08-01,813
현대,베뉴,2025-09-01,1002
현대,베뉴,2025-10-01,556
현대,베뉴,2025-11-01,1468
현대,베뉴,2025-12-01,2077
