제조사,모델명,연월,판매량
현대,캐스퍼,2025-01-01,740
현대,캐스퍼,2025-02-01,232
현대,캐스퍼,2025-03-01,840
현대,캐스퍼,2025-04-01,672
현대,캐스퍼,2025-05-01,583
현대,캐스퍼,2025-06-01,585
현대,캐스퍼,2025-07-01,597
현대,캐스퍼,2025-08-01,791
현대,캐스퍼,2025-09-01,1174
현대,캐스퍼,2025-10-01,511
현대,캐스퍼,2025-11-01,1383
현대,캐스퍼,2025-12-01,1642
현대,디 올 뉴 넥쏘,2025-01-01,0
현대,디 올 뉴 넥쏘,2025-02-01,0
현대,디 올 뉴 넥쏘,2025-03-01,0
현대,디 올 뉴 넥쏘,2025-04-01,0
현대,디 올 뉴 넥쏘,2025-05-01,0
현대,디 올 뉴 넥쏘,2025-06-01,50
현대,디 올 뉴 넥쏘,2025-07-01,1001
현대,디 올 뉴 넥쏘,2025-08-01,1203
현대,디 올 뉴 넥쏘,2025-09-01,1239
현대,디 올 뉴 넥쏘,2025-10-01,646
현대,디 올 뉴 넥쏘,2025-11-01,511
현대,디 올 뉴 넥쏘,2025-12-01,353
현대,아이오닉 9,2025-01-01,0
현대,아이오닉 9,2025-02-01,181
현대,아이오닉 9,2025-03-01,784
현대,아이오닉 9,2025-04-01,1009
현대,아이오닉 9,2025-05-01,867
현대,아이오닉 9,2025-06-01,767
현대,아이오닉 9,2025-07-01,1137
현대,아이오닉 9,2025-08-01,926
현대,아이오닉 9,2025-09-01,1272
현대,아이오닉 9,2025-10-01,667
현대,아이오닉 9,2025-11-01,484
현대,아이오닉 9,2025-12-01,133
현대,아반떼 N,2025-01-01,144
현대,아반떼 N,2025-02-01,193
현대,아반떼 N,2025-03-01,79
현대,아반떼 N,2025-04-01,108
현대,아반떼 N,2025-05-01,128
현대,아반떼 N,2025-06-01,151
현대,아반떼 N,2025-07-01,159
현대,아반떼 N,2025-08-01,151
현대,아반떼 N,2025-09-01,186
현대,아반떼 N,2025-10-01,145
현대,아반떼 N,2025-11-01,142
현대,아반떼 N,2025-12-01,113
현대,아이오닉 5,2025-01-01,48
현대,아이오닉 5,2025-02-01,1356
현대,아이오닉 5,2025-03-01,1090
현대,아이오닉 5,2025-04-01,1422
현대,아이오닉 5,2025-05-01,1226
현대,아이오닉 5,2025-06-01,1464
현대,아이오닉 5,2025-07-01,1474
현대,아이오닉 5,2025-08-01,1640
현대,아이오닉 5,2025-09-01,2246
현대,아이오닉 5,2025-10-01,1098
현대,아이오닉 5,2025-11-01,662
현대,아이오닉 5,2025-12-01,97
현대,포터2 일렉트릭,2025-01-01,6
현대,포터2 일렉트릭,2025-02-01,1532
현대,포터2 일렉트릭,2025-03-01,986
현대,포터2 일렉트릭,2025-04-01,1081
현대,포터2 일렉트릭,2025-05-01,778
현대,포터2 일렉트릭,2025-06-01,660
현대,포터2 일렉트릭,2025-07-01,928
현대,포터2 일렉트릭,2025-08-01,1294
현대,포터2 일렉트릭,2025-09-01,1003
현대,포터2 일렉트릭,2025-10-01,604
현대,포터2 일렉트릭,2025-11-01,329
현대,포터2 일렉트릭,2025-12-01,92
현대,캐스퍼 일렉트릭,2025-01-01,186
현대,캐스퍼 일렉트릭,2025-02-01,1061
현대,캐스퍼 일렉트릭,2025-03-01,1185
현대,캐스퍼 일렉트릭,2025-04-01,783
현대,캐스퍼 일렉트릭,2025-05-01,687
현대,캐스퍼 일렉트릭,2025-06-01,620
현대,캐스퍼 일렉트릭,2025-07-01,648
현대,캐스퍼 일렉트릭,2025-08-01,456
현대,캐스퍼 일렉트릭,2025-09-01,970
현대,캐스퍼 일렉트릭,2025-10-01,971
현대,캐스퍼 일렉트릭,2025-11-01,909
현대,캐스퍼 일렉트릭,2025-12-01,43
현대,ST1,2025-01-01,7
현대,ST1,2025-02-01,201
현대,ST1,2025-03-01,109
현대,ST1,2025-04-01,115
현대,ST1,2025-05-01,114
현대,ST1,2025-06-01,77
현대,ST1,2025-07-01,127
현대,ST1,2025-08-01,201
현대,ST1,2025-09-01,310
현대,ST1,2025-10-01,199
현대,ST1,2025-11-01,79
현대,ST1,2025-12-01,40
현대,코나 일렉트릭,2025-01-01,43
현대,코나 일렉트릭,2025-02-01,411
현대,코나 일렉트릭,2025-03-01,446
현대,코나 일렉트릭,2025-04-01,298
현대,코나 일렉트릭,2025-05-01,253
현대,코나 일렉트릭,2025-06-01,322
현대,코나 일렉트릭,2025-07-01,365
현대,코나 일렉트릭,2025-08-01,540
현대,코나 일렉트릭,2025-09-01,702
현대,코나 일렉트릭,2025-10-01,421
현대,코나 일렉트릭,2025-11-01,258
현대,코나 일렉트릭,2025-12-01,18
현대,더 뉴 아이오닉 6,2025-01-01,0
현대,더 뉴 아이오닉 6,2025-02-01,0
현대,더 뉴 아이오닉 6,2025-03-01,0
현대,더 뉴 아이오닉 6,2025-04-01,0
현대,더 뉴 아이오닉 6,2025-05-01,0
현대,더 뉴 아이오닉 6,2025-06-01,0
현대,더 뉴 아이오닉 6,2025-07-01,0
현대,더 뉴 아이오닉 6,2025-08-01,230
현대,더 뉴 아이오닉 6,2025-09-01,657
현대,더 뉴 아이오닉 6,2025-10-01,367
현대,더 뉴 아이오닉 6,2025-11-01,244
현대,더 뉴 아이오닉 6,2025-12-01,13
현대,아이오닉 5 N,2025-01-01,27
현대,아이오닉 5 N,2025-02-01,107
현대,아이오닉 5 N,2025-03-01,39
현대,아이오닉 5 N,2025-04-01,36
현대,아이오닉 5 N,2025-05-01,29
현대,아이오닉 5 N,2025-06-01,25
현대,아이오닉 5 N,2025-07-01,36
현대,아이오닉 5 N,2025-08-01,22
현대,아이오닉 5 N,2025-09-01,23
현대,아이오닉 5 N,2025-10-01,11
현대,아이오닉 5 N,2025-11-01,28
현대,아이오닉 5 N,2025-12-01,5
기아,쏘렌토,2025-01-01,7454
기아,쏘렌토,2025-02-01,9067
기아,쏘렌토,2025-03-01,10155
기아,쏘렌토,2025-04-01,8796
기아,쏘렌토,2025-05-01,7734
기아,쏘렌토,2025-06-01,7923
기아,쏘렌토,2025-07-01,7053
기아,쏘렌토,2025-08-01,6531
기아,쏘렌토,2025-09-01,8978
기아,쏘렌토,2025-10-01,6788
기아,쏘렌토,2025-11-01,10047
기아,쏘렌토,2025-12-01,9476
기아,스포티지,2025-01-01,6547
기아,스포티지,2025-02-01,6568
기아,스포티지,2025-03-01,6617
기아,스포티지,2025-04-01,6703
기아,스포티지,2025-05-01,5295
기아,스포티지,2025-06-01,6363
기아,스포티지,2025-07-01,5424
기아,스포티지,2025-08-01,5755
기아,스포티지,2025-09-01,6416
기아,스포티지,2025-10-01,4055
기아,스포티지,2025-11-01,6868
기아,스포티지,2025-12-01,7906
기아,카니발,2025-01-01,6068
기아,카니발,2025-02-01,7734
기아,카니발,2025-03-01,7710
기아,카니발,2025-04-01,7592
기아,카니발,2025-05-01,6651
기아,카니발,2025-06-01,6714
기아,카니발,2025-07-01,7211
기아,카니발,2025-08-01,6031
기아,카니발,2025-09-01,6758
기아,카니발,2025-10-01,4515
기아,카니발,2025-11-01,5305
기아,카니발,2025-12-01,5929
기아,셀토스,2025-01-01,4342
기아,셀토스,2025-02-01,4764
기아,셀토스,2025-03-01,5351
기아,셀토스,2025-04-01,5101
기아,셀토스,2025-05-01,4257
기아,셀토스,2025-06-01,5100
기아,셀토스,2025-07-01,4921
기아,셀토스,2025-08-01,4238
기아,셀토스,2025-09-01,4965
기아,셀토스,2025-10-01,3365
기아,셀토스,2025-11-01,4640
기아,셀토스,2025-12-01,4873
기아,레이,2025-01-01,3803
기아,레이,2025-02-01,3774
기아,레이,2025-03-01,3375
기아,레이,2025-04-01,3634
기아,레이,2025-05-01,3194
기아,레이,2025-06-01,2955
기아,레이,2025-07-01,2327
기아,레이,2025-08-01,2463
기아,레이,2025-09-01,2962
기아,레이,2025-10-01,2591
기아,레이,2025-11-01,3918
기아,레이,2025-12-01,4388
기아,K5,2025-01-01,2583
기아,K5,2025-02-01,2503
기아,K5,2025-03-01,2863
기아,K5,2025-04-01,3581
기아,K5,2025-05-01,3028
기아,K5,2025-06-01,2873
기아,K5,2025-07-01,2868
기아,K5,2025-08-01,3238
기아,K5,2025-09-01,3127
기아,K5,2025-10-01,3045
기아,K5,2025-11-01,3827
기아,K5,2025-12-01,3062
기아,봉고 3,2025-01-01,2428
기아,봉고 3,2025-02-01,2755
기아,봉고 3,2025-03-01,2922
기아,봉고 3,2025-04-01,3043
기아,봉고 3,2025-05-01,2491
기아,봉고 3,2025-06-01,2900
기아,봉고 3,2025-07-01,2952
기아,봉고 3,2025-08-01,2698
기아,봉고 3,2025-09-01,2928
기아,봉고 3,2025-10-01,2995
기아,봉고 3,2025-11-01,3395
기아,봉고 3,2025-12-01,2531
기아,K8,2025-01-01,2297
기아,K8,2025-02-01,2457
기아,K8,2025-03-01,2704
기아,K8,2025-04-01,2566
기아,K8,2025-05-01,2627
기아,K8,2025-06-01,2423
기아,K8,2025-07-01,2090
기아,K8,2025-08-01,1976
기아,K8,2025-09-01,2159
기아,K8,2025-10-01,2129
기아,K8,2025-11-01,2569
기아,K8,2025-12-01,2157
기아,모닝,2025-01-01,1484
기아,모닝,2025-02-01,765
기아,모닝,2025-03-01,579
기아,모닝,2025-04-01,1028
기아,모닝,2025-05-01,1527
기아,모닝,2025-06-01,1204
기아,모닝,2025-07-01,838
기아,모닝,2025-08-01,2080
기아,모닝,2025-09-01,1805
기아,모닝,2025-10-01,2062
기아,모닝,2025-11-01,1512
기아,모닝,2025-12-01,1413
기아,니로,2025-01-01,560
기아,니로,2025-02-01,800
기아,니로,2025-03-01,1147
기아,니로,2025-04-01,1644
기아,니로,2025-05-01,1283
기아,니로,2025-06-01,999
기아,니로,2025-07-01,1027
기아,니로,2025-08-01,1037
기아,니로,2025-09-01,1025
기아,니로,2025-10-01,1122
기아,니로,2025-11-01,1348
기아,니로,2025-12-01,1313
기아,타스만,2025-01-01,0
기아,타스만,2025-02-01,0
기아,타스만,2025-03-01,96
기아,타스만,2025-04-01,1248
기아,타스만,2025-05-01,1348
기아,타스만,2025-06-01,1302
기아,타스만,2025-07-01,1271
기아,타스만,2025-08-01,887
기아,타스만,2025-09-01,777
기아,타스만,2025-10-01,611
기아,타스만,2025-11-01,592
기아,타스만,2025-12-01,352
기아,PV5,2025-01-01,0
기아,PV5,2025-02-01,0
기아,PV5,2025-03-01,0
기아,PV5,2025-04-01,0
기아,PV5,2025-05-01,0
기아,PV5,2025-06-01,0
기아,PV5,2025-07-01,0
기아,PV5,2025-08-01,161
기아,PV5,2025-09-01,672
기아,PV5,2025-10-01,1814
기아,PV5,2025-11-01,962
기아,PV5,2025-12-01,227
기아,K9,2025-01-01,123
기아,K9,2025-02-01,164
기아,K9,2025-03-01,226
기아,K9,2025-04-01,147
기아,K9,2025-05-01,109
기아,K9,2025-06-01,92
기아,K9,2025-07-01,113
기아,K9,2025-08-01,143
기아,K9,2025-09-01,109
기아,K9,2025-10-01,47
기아,K9,2025-11-01,138
기아,K9,2025-12-01,170
기아,레이 EV,2025-01-01,73
기아,레이 EV,2025-02-01,513
기아,레이 EV,2025-03-01,1209
기아,레이 EV,2025-04-01,628
기아,레이 EV,2025-05-01,806
기아,레이 EV,2025-06-01,1305
기아,레이 EV,2025-07-01,1442
기아,레이 EV,2025-08-01,1021
기아,레이 EV,2025-09-01,1041
기아,레이 EV,2025-10-01,791
기아,레이 EV,2025-11-01,298
기아,레이 EV,2025-12-01,143
기아,EV3,2025-01-01,429
기아,EV3,2025-02-01,2257
기아,EV3,2025-03-01,3032
기아,EV3,2025-04-01,3057
기아,EV3,2025-05-01,1866
기아,EV3,2025-06-01,1884
기아,EV3,2025-07-01,2199
기아,EV3,2025-08-01,2317
기아,EV3,2025-09-01,1927
기아,EV3,2025-10-01,1423
기아,EV3,2025-11-01,684
기아,EV3,2025-12-01,137
기아,EV5,2025-01-01,0
기아,EV5,2025-02-01,0
기아,EV5,2025-03-01,0
기아,EV5,2025-04-01,0
기아,EV5,2025-05-01,0
기아,EV5,2025-06-01,0
기아,EV5,2025-07-01,0
기아,EV5,2025-08-01,0
기아,EV5,2025-09-01,272
기아,EV5,2025-10-01,1150
기아,EV5,2025-11-01,667
기아,EV5,2025-12-01,104
기아,EV6,2025-01-01,72
기아,EV6,2025-02-01,1100
기아,EV6,2025-03-01,1163
기아,EV6,2025-04-01,789
기아,EV6,2025-05-01,957
기아,EV6,2025-06-01,727
기아,EV6,2025-07-01,936
기아,EV6,2025-08-01,1080
기아,EV6,2025-09-01,1322
기아,EV6,2025-10-01,747
기아,EV6,2025-11-01,392
기아,EV6,2025-12-01,83
기아,EV4,2025-01-01,0
기아,EV4,2025-02-01,0
기아,EV4,2025-03-01,0
기아,EV4,2025-04-01,831
기아,EV4,2025-05-01,1373
기아,EV4,2025-06-01,1073
기아,EV4,2025-07-01,1485
기아,EV4,2025-08-01,1124
기아,EV4,2025-09-01,1151
기아,EV4,2025-10-01,654
기아,EV4,2025-11-01,338
기아,EV4,2025-12-01,81
기아,EV9,2025-01-01,37
기아,EV9,2025-02-01,88
기아,EV9,2025-03-01,202
기아,EV9,2025-04-01,150
기아,EV9,2025-05-01,178
기아,EV9,2025-06-01,113
기아,EV9,2025-07-01,173
기아,EV9,2025-08-01,112
기아,EV9,2025-09-01,147
기아,EV9,2025-10-01,144
기아,EV9,2025-11-01,186
기아,EV9,2025-12-01,64
기아,봉고 3 EV,2025-01-01,0
기아,봉고 3 EV,2025-02-01,569
기아,봉고 3 EV,2025-03-01,596
기아,봉고 3 EV,2025-04-01,340
기아,봉고 3 EV,2025-05-01,260
기아,봉고 3 EV,2025-06-01,252
기아,봉고 3 EV,2025-07-01,684
기아,봉고 3 EV,2025-08-01,644
기아,봉고 3 EV,2025-09-01,500
기아,봉고 3 EV,2025-10-01,195
기아,봉고 3 EV,2025-11-01,88
기아,봉고 3 EV,2025-12-01,41
기아,니로 EV,2025-01-01,11
기아,니로 EV,2025-02-01,53
기아,니로 EV,2025-03-01,29
기아,니로 EV,2025-04-01,72
기아,니로 EV,2025-05-01,27
기아,니로 EV,2025-06-01,8
기아,니로 EV,2025-07-01,8
기아,니로 EV,2025-08-01,25
기아,니로 EV,2025-09-01,23
기아,니로 EV,2025-10-01,6
기아,니로 EV,2025-11-01,31
기아,니로 EV,2025-12-01,1
제네시스,G80,2025-01-01,2710
제네시스,G80,2025-02-01,3982
제네시스,G80,2025-03-01,3632
제네시스,G80,2025-04-01,4221
제네시스,G80,2025-05-01,3592
제네시스,G80,2025-06-01,3466
제네시스,G80,2025-07-01,2711
제네시스,G80,2025-08-01,2745
제네시스,G80,2025-09-01,3198
제네시스,G80,2025-10-01,2940
제네시스,G80,2025-11-01,3596
제네시스,G80,2025-12-01,3371
제네시스,GV70,2025-01-01,2734
제네시스,GV70,2025-02-01,2658
제네시스,GV70,2025-03-01,2871
제네시스,GV70,2025-04-01,2965
제네시스,GV70,2025-05-01,2343
제네시스,GV70,2025-06-01,2897
제네시스,GV70,2025-07-01,2444
제네시스,GV70,2025-08-01,2882
제네시스,GV70,2025-09-01,2690
제네시스,GV70,2025-10-01,2435
제네시스,GV70,2025-11-01,3688
제네시스,GV70,2025-12-01,2963
제네시스,GV80,2025-01-01,2692
제네시스,GV80,2025-02-01,2642
제네시스,GV80,2025-03-01,2929
제네시스,GV80,2025-04-01,2927
제네시스,GV80,2025-05-01,2354
제네시스,GV80,2025-06-01,2954
제네시스,GV80,2025-07-01,2157
제네시스,GV80,2025-08-01,2635
제네시스,GV80,2025-09-01,2564
제네시스,GV80,2025-10-01,2850
제네시스,GV80,2025-11-01,3203
제네시스,GV80,2025-12-01,2490
제네시스,G90,2025-01-01,554
제네시스,G90,2025-02-01,628
제네시스,G90,2025-03-01,559
제네시스,G90,2025-04-01,787
제네시스,G90,2025-05-01,736
제네시스,G90,2025-06-01,668
제네시스,G90,2025-07-01,579
제네시스,G90,2025-08-01,577
제네시스,G90,2025-09-01,575
제네시스,G90,2025-10-01,492
제네시스,G90,2025-11-01,557
제네시스,G90,2025-12-01,635
제네시스,G70,2025-01-01,107
제네시스,G70,2025-02-01,162
제네시스,G70,2025-03-01,144
제네시스,G70,2025-04-01,210
제네시스,G70,2025-05-01,169
제네시스,G70,2025-06-01,206
제네시스,G70,2025-07-01,71
제네시스,G70,2025-08-01,199
제네시스,G70,2025-09-01,173
제네시스,G70,2025-10-01,127
제네시스,G70,2025-11-01,148
제네시스,G70,2025-12-01,157
제네시스,Electrified G80,2025-01-01,20
제네시스,Electrified G80,2025-02-01,44
제네시스,Electrified G80,2025-03-01,217
제네시스,Electrified G80,2025-04-01,119
제네시스,Electrified G80,2025-05-01,120
제네시스,Electrified G80,2025-06-01,78
제네시스,Electrified G80,2025-07-01,75
제네시스,Electrified G80,2025-08-01,81
제네시스,Electrified G80,2025-09-01,156
제네시스,Electrified G80,2025-10-01,51
제네시스,Electrified G80,2025-11-01,125
제네시스,Electrified G80,2025-12-01,41
제네시스,Electrified GV70,2025-01-01,0
제네시스,Electrified GV70,2025-02-01,91
제네시스,Electrified GV70,2025-03-01,237
제네시스,Electrified GV70,2025-04-01,128
제네시스,Electrified GV70,2025-05-01,92
제네시스,Electrified GV70,2025-06-01,105
제네시스,Electrified GV70,2025-07-01,109
제네시스,Electrified GV70,2025-08-01,101
제네시스,Electrified GV70,2025-09-01,101
제네시스,Electrified GV70,2025-10-01,77
제네시스,Electrified GV70,2025-11-01,82
제네시스,Electrified GV70,2025-12-01,14
제네시스,GV60,2025-01-01,0
제네시스,GV60,2025-02-01,0
제네시스,GV60,2025-03-01,6
제네시스,GV60,2025-04-01,147
제네시스,GV60,2025-05-01,111
제네시스,GV60,2025-06-01,80
제네시스,GV60,2025-07-01,81
제네시스,GV60,2025-08-01,91
제네시스,GV60,2025-09-01,81
제네시스,GV60,2025-10-01,88
제네시스,GV60,2025-11-01,66
제네시스,GV60,2025-12-01,9
쉐보레,트랙스 크로스오버,2025-01-01,953
쉐보레,트랙스 크로스오버,2025-02-01,1120
쉐보레,트랙스 크로스오버,2025-03-01,1097
쉐보레,트랙스 크로스오버,2025-04-01,1079
쉐보레,트랙스 크로스오버,2025-05-01,1122
쉐보레,트랙스 크로스오버,2025-06-01,1004
쉐보레,트랙스 크로스오버,2025-07-01,1001
쉐보레,트랙스 크로스오버,2025-08-01,993
쉐보레,트랙스 크로스오버,2025-09-01,1012
쉐보레,트랙스 크로스오버,2025-10-01,959
쉐보레,트랙스 크로스오버,2025-11-01,819
쉐보레,트랙스 크로스오버,2025-12-01,950
쉐보레,트레일블레이저,2025-01-01,199
쉐보레,트레일블레이저,2025-02-01,302
쉐보레,트레일블레이저,2025-03-01,259
쉐보레,트레일블레이저,2025-04-01,209
쉐보레,트레일블레이저,2025-05-01,257
쉐보레,트레일블레이저,2025-06-01,244
쉐보레,트레일블레이저,2025-07-01,190
쉐보레,트레일블레이저,2025-08-01,185
쉐보레,트레일블레이저,2025-09-01,190
쉐보레,트레일블레이저,2025-10-01,181
쉐보레,트레일블레이저,2025-11-01,133
쉐보레,트레일블레이저,2025-12-01,160
쉐보레,콜로라도,2025-01-01,14
쉐보레,콜로라도,2025-02-01,10
쉐보레,콜로라도,2025-03-01,13
쉐보레,콜로라도,2025-04-01,10
쉐보레,콜로라도,2025-05-01,4
쉐보레,콜로라도,2025-06-01,9
쉐보레,콜로라도,2025-07-01,8
쉐보레,콜로라도,2025-08-01,3
쉐보레,콜로라도,2025-09-01,4
쉐보레,콜로라도,2025-10-01,14
쉐보레,콜로라도,2025-11-01,7
쉐보레,콜로라도,2025-12-01,16
KGM,액티언,2025-01-01,478
KGM,액티언,2025-02-01,355
KGM,액티언,2025-03-01,310
KGM,액티언,2025-04-01,258
KGM,액티언,2025-05-01,198
KGM,액티언,2025-06-01,265
KGM,액티언,2025-07-01,1248
KGM,액티언,2025-08-01,1040
KGM,액티언,2025-09-01,1057
KGM,액티언,2025-10-01,701
KGM,액티언,2025-11-01,677
KGM,액티언,2025-12-01,785
KGM,티볼리,2025-01-01,293
KGM,티볼리,2025-02-01,428
KGM,티볼리,2025-03-01,390
KGM,티볼리,2025-04-01,428
KGM,티볼리,2025-05-01,452
KGM,티볼리,2025-06-01,379
KGM,티볼리,2025-07-01,446
KGM,티볼리,2025-08-01,469
KGM,티볼리,2025-09-01,501
KGM,티볼리,2025-10-01,506
KGM,티볼리,2025-11-01,424
KGM,티볼리,2025-12-01,585
KGM,토레스,2025-01-01,547
KGM,토레스,2025-02-01,579
KGM,토레스,2025-03-01,1058
KGM,토레스,2025-04-01,989
KGM,토레스,2025-05-01,762
KGM,토레스,2025-06-01,654
KGM,토레스,2025-07-01,511
KGM,토레스,2025-08-01,382
KGM,토레스,2025-09-01,663
KGM,토레스,2025-10-01,957
KGM,토레스,2025-11-01,1127
KGM,토레스,2025-12-01,430
KGM,무쏘 스포츠,2025-01-01,0
KGM,무쏘 스포츠,2025-02-01,0
KGM,무쏘 스포츠,2025-03-01,279
KGM,무쏘 스포츠,2025-04-01,569
KGM,무쏘 스포츠,2025-05-01,405
KGM,무쏘 스포츠,2025-06-01,431
KGM,무쏘 스포츠,2025-07-01,373
KGM,무쏘 스포츠,2025-08-01,445
KGM,무쏘 스포츠,2025-09-01,387
KGM,무쏘 스포츠,2025-10-01,335
KGM,무쏘 스포츠,2025-11-01,340
KGM,무쏘 스포츠,2025-12-01,427
KGM,무쏘 칸,2025-01-01,0
KGM,무쏘 칸,2025-02-01,0
KGM,무쏘 칸,2025-03-01,232
KGM,무쏘 칸,2025-04-01,340
KGM,무쏘 칸,2025-05-01,341
KGM,무쏘 칸,2025-06-01,345
KGM,무쏘 칸,2025-07-01,239
KGM,무쏘 칸,2025-08-01,226
KGM,무쏘 칸,2025-09-01,240
KGM,무쏘 칸,2025-10-01,231
KGM,무쏘 칸,2025-11-01,180
KGM,무쏘 칸,2025-12-01,223
KGM,렉스턴 뉴 아레나,2025-01-01,109
KGM,렉스턴 뉴 아레나,2025-02-01,95
KGM,렉스턴 뉴 아레나,2025-03-01,105
KGM,렉스턴 뉴 아레나,2025-04-01,124
KGM,렉스턴 뉴 아레나,2025-05-01,94
KGM,렉스턴 뉴 아레나,2025-06-01,111
KGM,렉스턴 뉴 아레나,2025-07-01,107
KGM,렉스턴 뉴 아레나,2025-08-01,168
KGM,렉스턴 뉴 아레나,2025-09-01,102
KGM,렉스턴 뉴 아레나,2025-10-01,125
KGM,렉스턴 뉴 아레나,2025-11-01,97
KGM,렉스턴 뉴 아레나,2025-12-01,124
KGM,코란도,2025-01-01,44
KGM,코란도,2025-02-01,63
KGM,코란도,2025-03-01,41
KGM,코란도,2025-04-01,43
KGM,코란도,2025-05-01,50
KGM,코란도,2025-06-01,56
KGM,코란도,2025-07-01,31
KGM,코란도,2025-08-01,32
KGM,코란도,2025-09-01,33
KGM,코란도,2025-10-01,20
KGM,코란도,2025-11-01,24
KGM,코란도,2025-12-01,40
KGM,무쏘 EV,2025-01-01,0
KGM,무쏘 EV,2025-02-01,0
KGM,무쏘 EV,2025-03-01,526
KGM,무쏘 EV,2025-04-01,719
KGM,무쏘 EV,2025-05-01,1167
